Tract,TotHH,TotAdult,Age18to34,Age35to49,Age50to64,Age65plus,MOS,pi_i
26163506700,457,770,207,184,223,156,3.4494479612295894,0.06404302363835723
26163506800,1637,2906,924,701,748,533,13.040789621482089,0.2421174655708434
26163506900,1459,2551,850,633,579,489,11.469274316063554,0.21294045145607368
26163507000,1183,1886,634,467,449,336,8.47628051003058,0.1573720314585445
26163507100,1060,1690,513,389,472,316,7.568065971138274,0.140509969517988
26163507200,519,750,231,188,185,146,3.3701309086866296,0.06257041007003342
26163507300,1086,1687,517,362,438,370,7.545706659424921,0.14009484282389367
26163507400,1206,1891,590,438,519,344,8.471546200448051,0.15728413348069037
26163507500,1072,1681,474,377,419,411,7.527984368779117,0.13976580783292936
26163508000,626,835,270,210,270,85,3.744168213384602,0.06951484877896263
26163508100,679,963,277,252,259,175,4.328972035904005,0.08037241365611517
26163509000,1090,1511,456,391,401,263,6.791765588982964,0.12609704771611327
26163509100,1440,3214,1293,771,778,372,14.439190166641879,0.26808040230047486
26163510600,1636,3661,1424,968,815,454,16.501855366038257,0.30637618690360624
26163511200,736,940,351,227,199,163,4.2265830095829235,0.07847144199146305
26163511300,822,1511,582,375,324,230,6.799473536622293,0.1262401547519106
26163511400,1303,1675,508,330,436,401,7.4763192291694684,0.13880658427180037
26163511900,1234,1320,499,272,397,152,5.894899995088407,0.10944569217290802
26163512800,1357,1819,529,427,564,299,8.14136253043691,0.15115388863537157
26163513200,915,1183,326,302,338,217,5.310645056127983,0.09859831795905509
26163513300,1080,1669,404,354,455,456,7.455419077650793,0.13841854858817795
26163513700,1479,2307,580,457,609,661,10.292200859867577,0.19108671021210644
26163513800,1636,1945,718,360,534,333,8.671076424961386,0.16098864476153868
26163513900,905,1165,380,238,325,222,5.202516278859596,0.09659078112521415
26163514100,1021,1304,389,285,373,257,5.8301000934431055,0.10824260643876234
26163514200,1108,1485,368,286,423,408,6.6162621802226536,0.1228386222862534
26163514300,1040,1726,390,331,518,487,7.684017499403838,0.14266274484583152
26163514500,467,654,206,134,186,128,2.919953621798032,0.054212343808503
26163515200,664,1120,258,205,316,341,4.984041255832386,0.09253453756932216
26163515300,1906,2439,703,418,713,605,10.84149157880157,0.20128493291104527
26163515400,725,1128,330,302,237,259,5.083637125663695,0.09438365102677396
26163515700,3906,4417,1048,578,1168,1623,19.547838115487096,0.36292840842355184
26163516000,1080,1722,537,386,465,334,7.708778564466989,0.14312246289143585
26163516400,739,978,351,238,255,134,4.391174163202852,0.0815272686803771
26163516500,1928,2441,965,504,522,450,10.932681137934415,0.20297797340817875
26163516600,1436,1679,638,319,377,345,7.501858392284731,0.1392807486150455
26163516700,1881,2604,699,502,712,691,11.608518711927976,0.2155256860316013
26163516800,405,474,121,97,164,92,2.110991188883208,0.03919301294860521
26163516900,1584,1948,256,221,608,863,8.58169510096693,0.15932917625824689
26163517000,2430,2852,1280,485,474,613,12.744649665268717,0.23661928196894483
26163517100,1155,1479,541,223,324,391,6.578240213784905,0.12213270014371976
26163517200,941,1650,672,417,417,144,7.421742709809288,0.13779330755078054
26163517300,1333,1683,699,428,302,254,7.589146072728672,0.14090134618452327
26163517500,2126,2528,780,344,655,749,11.204394679033264,0.20802265213098878
26163518000,1526,2016,878,387,401,350,9.021607886804402,0.16749667008881394
26163518900,1016,1462,462,302,340,358,6.5392654656641485,0.12140908849824737
26163519000,636,879,252,172,270,185,3.916474578281999,0.07271391736158588
26163519100,712,861,210,173,263,215,3.8372442683483214,0.07124291427094985
26163519200,832,1164,276,290,350,248,5.2172949493236205,0.09686516437508744
26163519300,699,1057,254,195,327,281,4.70097426367836,0.08727906878895045
