Tract,BlockGroup,TotAdult,Age18to34,Age35to49,Age50to64,Age65plus,MOS_bg,pi_i,pij_given_i,pi_ij,rate_Age18to34,rate_Age35to49,rate_Age50to64,rate_Age65plus,d0_bg,d0_18to34,d0_35to49,d0_50to64,d0_65plus,exp_workload
26163500200,261635002001,608,211,160,149,88,2.7371669045345475,0.17462555960526865,0.29101521780908196,0.05081869526356008,0.08710852159254952,0.09651202222208792,0.08354830297314358,0.08626020007790859,19.677797606052618,225.8998,203.8896,235.526,228.12140000000002,53.86141636141636
26163500900,261635009001,1154,427,289,302,136,5.186062479842649,0.21507395793609174,0.44768459224188545,0.09628529716046766,0.04597525836466471,0.05093835913909334,0.04409620029009997,0.045527520300708675,10.385801669526083,225.8998,203.8896,235.526,228.12140000000002,53.861416361416374
26163501400,261635014002,709,238,185,189,97,3.188589606201408,0.22410393418739663,0.26416262756532,0.059199884102668236,0.07477618378431077,0.08284838933245757,0.07172000102595485,0.07404796289010607,16.891924961639045,225.8998,203.8896,235.526,228.12140000000002,53.86141636141637
26163502000,261635020001,1289,437,357,346,149,5.807646810758645,0.10782573506401429,1,0.10782573506401429,0.04105459064149145,0.045486497668320455,0.039376645529558475,0.04065477335749645,9.274223814994789,225.8998,203.8896,235.526,228.12140000000002,53.86141636141637
26163503400,261635034001,673,203,178,190,102,3.025485321251147,0.0561716628643738,1,0.0561716628643738,0.07880737702850923,0.08731475616836185,0.07558643508260163,0.07803989765653213,17.80257070926483,225.8998,203.8896,235.526,228.12140000000002,53.861416361416374
26163505100,261635051003,1018,310,220,290,198,4.550550618156805,0.18707736337294065,0.45161144504436695,0.08448627840794386,0.052395980709392824,0.05805220846505019,0.050254500832416366,0.05188571332218589,11.836241563055696,225.8998,203.8896,235.526,228.12140000000002,53.86141636141637
26163506100,261635061001,1379,507,319,336,217,6.186772076297039,0.11486463769877642,1,0.11486463769877642,0.03853876617170728,0.04269908602712173,0.036963645501708685,0.038163449682648974,8.70589957043544,225.8998,203.8896,235.526,228.12140000000002,53.861416361416374
26163506900,261635069003,674,213,177,145,139,3.035980752037113,0.21294045145607368,0.264705566226191,0.056366522775140725,0.078534938749554,0.08701290775270783,0.07532513164804097,0.07777011256522404,17.741026956536498,225.8998,203.8896,235.526,228.12140000000002,53.86141636141637
26163508000,261635080001,835,270,210,270,85,3.7441682133846026,0.06951484877896265,1,0.06951484877896265,0.0636805156225944,0.07055492650454437,0.061077824711670683,0.06306035182600558,14.385415743040946,225.8998,203.8896,235.526,228.12140000000002,53.86141636141636
26163511400,261635114002,843,247,154,230,212,3.7545832026027073,0.13880658427180037,0.5021967478266438,0.06970821519822311,0.06350386968140101,0.07035921135876744,0.060908398479380406,0.06288542618208791,14.34551146025455,225.8998,203.8896,235.526,228.12140000000002,53.86141636141637
26163513900,261635139002,553,211,122,143,77,2.4770966992407857,0.09659078112521415,0.4761343485471556,0.04599018864671473,0.0962540390446352,0.10664481253273968,0.09232003332700119,0.09531665231484324,21.743768169375276,225.8998,203.8896,235.526,228.12140000000002,53.86141636141637
26163515700,261635157001,1663,551,278,358,476,7.409227810731212,0.36292840842355184,0.3790305489005012,0.13756095385636413,0.03218021749320851,0.03565412211153636,0.030864977521260085,0.031866824838319874,7.269504695672302,225.8998,203.8896,235.526,228.12140000000002,53.86141636141637
26163516700,261635167001,820,204,107,214,295,3.629624720802624,0.21552568603160124,0.3126690675075637,0.06738821527542871,0.06569014174923711,0.07278149490275283,0.06300531526508459,0.06505040685847234,14.839389883124312,225.8998,203.8896,235.526,228.12140000000002,53.86141636141637
26163517500,261635175001,1246,324,166,331,425,5.516838427522144,0.20802265213098878,0.4923816578726721,0.1024265383313264,0.04321869591405621,0.04788422147694691,0.041452301500667074,0.042797803113807445,9.763094763246114,225.8998,203.8896,235.526,228.12140000000002,53.86141636141636
26163520300,261635203003,1395,1201,101,56,37,6.211842579825275,0.2077497180975181,0.5551396261157401,0.1153301008303066,0.03838322677081847,0.042526755905561334,0.03681446316280384,0.038009425029315695,8.670763250882537,225.8998,203.8896,235.526,228.12140000000002,53.861416361416374
26163521800,261635218001,1179,282,207,249,441,5.25398570681209,0.09754637107121793,1,0.09754637107121793,0.04538089285186308,0.05027983094310499,0.043526127132704234,0.04493894312001109,10.2515346190573,225.8998,203.8896,235.526,228.12140000000002,53.86141636141636
