BlockGroup,TotHH,TotAdult,Age18to34,Age35to49,Age50to64,Age65plus,Tract,MOS_bg
261635057003,504,737,231,172,184,150,26163505700,3.304945775477394
261635057004,332,368,82,88,98,100,26163505700,1.6490519454936687
261635057005,433,823,192,192,236,203,26163505700,3.6835100137219037
261635058001,374,516,175,128,124,89,26163505800,2.3190947692586543
261635058002,311,905,433,233,117,122,26163505800,4.0911177407334
261635058003,315,473,131,111,146,85,26163505800,2.1168131144495907
261635058004,199,327,118,83,83,43,26163505800,1.4703373681196792
261635061001,744,1379,507,319,336,217,26163506100,6.186772076297039
261635062001,778,1353,447,323,333,250,26163506200,6.072708421514724
261635063001,453,732,242,186,187,117,26163506300,3.2903821718281656
261635063002,373,629,202,146,157,124,26163506300,2.820438856708894
261635064001,339,543,153,140,153,97,26163506400,2.4387595419946595
261635064002,3,154,53,39,56,6,26163506400,0.6899647485882238
261635065001,539,805,228,212,219,146,26163506500,3.61891918101511
261635065002,393,654,195,150,189,120,26163506500,2.9274017076695147
261635066001,797,1349,421,347,337,244,26163506600,6.06600538394458
261635066002,460,621,208,121,192,100,26163506600,2.767780340519665
261635067001,457,770,207,184,223,156,26163506700,3.4494479612295894
261635068001,790,1514,474,358,391,291,26163506800,6.789878143398017
261635068002,847,1385,446,343,354,242,26163506800,6.220467065183649
261635068003,0,7,4,0,3,0,26163506800,0.030444412900423393
261635069001,430,760,255,172,187,146,26163506900,3.4063904933667057
261635069002,611,1117,382,284,247,204,26163506900,5.026903070659736
261635393001,836,1552,417,392,381,362,26163539300,6.973090425216935
261635393002,750,1393,371,308,390,324,26163539300,6.229107026809999
261635394001,458,958,252,204,243,259,26163539400,4.28317391532456
261635394002,421,783,258,182,165,178,26163539400,3.515585107880961
261635394003,555,1078,328,244,255,251,26163539400,4.83167160704042
261635395001,299,519,145,141,120,113,26163539500,2.3382763991668605
261635395002,606,1079,259,240,308,272,26163539500,4.823692471229343
261635395003,450,781,115,135,135,396,26163539500,3.4803012250866083
261635396001,589,1050,329,224,291,206,26163539600,4.693592027520495
261635396002,728,1389,391,340,323,335,26163539600,6.2383398204514124
261635397001,1020,1675,424,338,449,464,26163539700,7.47507421725661
261635401001,492,785,200,169,202,214,26163540100,3.5099800025408148
261635401002,475,881,291,176,213,201,26163540100,3.936862549070546
261635401003,430,695,254,193,142,106,26163540100,3.138553726399685
261635402001,434,684,281,147,160,96,26163540200,3.0650518276894947
261635402002,392,542,207,122,141,72,26163540200,2.428979947983277
261635402003,650,1096,338,255,287,216,26163540200,4.912328811904345
261635403001,523,971,322,221,220,208,26163540300,4.355205335978177
261635403002,508,844,266,196,186,196,26163540300,3.7877311353429364
261635403003,577,955,295,197,236,227,26163540300,4.269194594270081
261635404001,610,1064,330,243,257,234,26163540400,4.769590382359087
261635404002,642,962,258,215,286,203,26163540400,4.300771880524387
261635405001,554,1094,319,265,267,243,26163540500,4.910708592709333
261635405002,386,677,184,194,162,137,26163540500,3.0543953129160055
261635405003,449,792,245,201,181,165,26163540500,3.5621710066906958
261635406001,600,980,334,238,219,189,26163540600,4.404169887383885
261635406002,771,1436,386,346,341,363,26163540600,6.444800150128661
261635407001,372,711,232,171,165,143,26163540700,3.1931119868735443
261635407002,431,850,247,227,184,192,26163540700,3.829639960145297
261635407003,510,839,297,209,207,126,26163540700,3.7710280880130713
261635408001,442,828,210,187,195,236,26163540800,3.7092496553407277
261635408002,478,799,254,227,194,124,26163540800,3.6049984116897504
261635409001,452,743,212,164,186,181,26163540900,3.325984955197332
261635409002,609,1158,343,256,265,294,26163540900,5.18788239159889
261635409003,378,740,174,180,191,195,26163540900,3.3188425324617814
261635410001,619,835,226,155,200,254,26163541000,3.723264269992381
261635410002,433,778,235,211,187,145,26163541000,3.504752021088547
261635410003,680,1116,406,269,254,187,26163541000,5.014774625170025
261635411001,609,1041,384,270,217,170,26163541100,4.690674022459126
261635411002,629,1025,352,269,258,146,26163541100,4.612984988159658
261635412001,655,907,297,167,299,144,26163541200,4.034554659706687
261635412002,469,656,238,189,142,87,26163541200,2.964818417993126
261635413001,521,925,359,247,218,101,26163541300,4.168974630136549
261635413002,598,995,351,293,245,106,26163541300,4.495728170286913
261635414001,286,411,124,84,127,76,26163541400,1.8332781416831772
261635414002,437,817,264,157,226,170,26163541400,3.643455894292934
261635414003,462,797,215,207,229,146,26163541400,3.5793066248903136
261635415001,814,1352,373,289,378,312,26163541500,6.041219464915878
261635415002,980,1545,422,332,390,401,26163541500,6.91012117325224
261635417001,772,925,261,208,227,229,26163541700,4.14319107162263
261635417002,440,639,196,176,162,105,26163541700,2.878956952765467
261635417003,312,490,178,101,100,111,26163541700,2.1944906873411734
261635418001,591,1025,285,252,238,250,26163541800,4.603996148078171
261635463011,720,1334,408,345,366,215,26163546301,5.994651878369666
261635466001,406,594,210,184,144,56,26163546600,2.6889456592195042
261635466002,467,813,315,165,210,123,26163546600,3.634492926192224
261635467001,740,1268,433,279,319,237,26163546700,5.678502358519218
261635467002,559,823,285,202,210,126,26163546700,3.6963123329687386
261635470001,512,856,235,228,238,155,26163547000,3.848503388269207
261635470002,710,1002,236,198,283,285,26163547000,4.466725393719026
261635470003,508,728,282,169,158,119,26163547000,3.269711977516697
261635471002,487,822,287,193,188,154,26163547100,3.6903579968998805
261635471003,1488,2121,784,550,493,294,26163547100,9.55007816939682
261635471004,208,368,149,85,88,46,26163547100,1.6517555532429269
261635472001,360,536,200,147,131,58,26163547200,2.4167791452702763
261635472002,270,466,173,109,128,56,26163547200,2.0893770464433334
261635472003,188,474,134,93,114,133,26163547200,2.1163584433120968
261635472004,919,1277,474,271,262,270,26163547200,5.723410155535477
261635006003,309,423,178,100,101,44,26163500600,1.900128623027271
261635006001,469,813,314,202,202,95,26163500600,3.6548287525214382
